latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
7.37478,81.37296,318.39,1.01,1.01,2022-05-11,0501,T,70,6.1NRT,292.44,11.15,D
28.47017,80.96015,324.15,1.46,1.19,2022-05-11,0455,T,19,6.1NRT,299.9,12.9,D
27.89231,81.54675,326.51,1.33,1.14,2022-05-11,0455,T,72,6.1NRT,300.69,10.63,D
26.63741,82.95482,331.01,1.1,1.05,2022-05-11,0457,T,72,6.1NRT,305.98,11.3,D
26.64724,80.03714,325.69,1.58,1.24,2022-05-11,0457,T,58,6.1NRT,302.43,14.25,D
25.32475,88.43656,314.04,1.32,1.14,2022-05-11,0457,T,33,6.1NRT,295.92,11.37,D
25.53183,84.8814,335.01,1,1,2022-05-11,0457,T,77,6.1NRT,307.02,17.06,D
25.51976,84.83902,331.55,1,1,2022-05-11,0457,T,71,6.1NRT,306.25,11.7,D
25.01264,85.69677,333.04,1.02,1.01,2022-05-11,0457,T,66,6.1NRT,308.86,15.28,D
25.08903,84.37562,333.09,1,1,2022-05-11,0457,T,62,6.1NRT,307.36,9.72,D
24.81248,81.52876,334.23,1.22,1.1,2022-05-11,0457,T,69,6.1NRT,307.81,15.1,D
24.53427,80.28177,333.47,1.43,1.18,2022-05-11,0457,T,68,6.1NRT,308.56,17.23,D
24.1651,82.68256,331.28,1.07,1.03,2022-05-11,0457,T,54,6.1NRT,308.06,9.01,D
24.17755,80.74178,336.73,1.33,1.14,2022-05-11,0457,T,76,6.1NRT,307.82,26.41,D
24.17596,80.75475,330.97,1.33,1.14,2022-05-11,0457,T,60,6.1NRT,307.88,14.24,D
23.95268,79.55893,335.01,1.57,1.23,2022-05-11,0457,T,70,6.1NRT,311.02,22.01,D
23.38871,77.71944,331.06,2.08,1.4,2022-05-11,0457,T,54,6.1NRT,310.09,22.74,D
22.4134,80.20012,335.94,1.36,1.16,2022-05-11,0457,T,75,6.1NRT,314.81,16.74,D
22.41179,80.21321,334.19,1.36,1.15,2022-05-11,0457,T,68,6.1NRT,313.29,12.61,D
20.82056,79.21906,334.15,1.5,1.21,2022-05-11,0457,T,69,6.1NRT,304.57,25.73,D
14.7558,101.94987,317.12,1.27,1.12,2022-05-11,0629,A,65,6.1NRT,295.29,7.8,D
17.37389,96.47832,313.26,2.82,1.6,2022-05-11,0629,A,0,6.1NRT,289.02,25.39,D
39.7626,67.28103,309.9,1.18,1.08,2022-05-11,0631,T,29,6.1NRT,295.01,5.83,D
39.59871,67.09446,310.36,1.17,1.08,2022-05-11,0631,T,27,6.1NRT,294.98,6.23,D
24.50726,56.60474,335.82,1.24,1.11,2022-05-11,0635,T,0,6.1NRT,321.8,15.5,D
26.57357,101.66892,337.46,1.01,1.01,2022-05-11,0631,A,86,6.1NRT,311.38,22.07,D
26.57208,101.659,333.28,1.01,1.01,2022-05-11,0631,A,64,6.1NRT,309.99,16.7,D
7.55802,81.22886,319.31,1.02,1.01,2022-05-11,0805,A,70,6.1NRT,300.51,6.14,D
17.46747,73.42002,320.18,2.1,1.41,2022-05-11,0809,A,61,6.1NRT,290.52,31.16,D
19.37026,71.33939,310.37,2.75,1.59,2022-05-11,0809,A,20,6.1NRT,288.06,22.63,D
21.26448,79.18158,335.47,1,1,2022-05-11,0809,A,62,6.1NRT,314.05,9.24,D
21.5125,79.24559,332.14,1,1,2022-05-11,0809,A,52,6.1NRT,308.64,11.48,D
22.27855,82.83096,327.22,1.42,1.18,2022-05-11,0809,A,43,6.1NRT,300.94,10.6,D
22.19146,78.4507,337.92,1,1,2022-05-11,0809,A,77,6.1NRT,316.66,16.04,D
22.24765,77.40122,341.84,1.04,1.02,2022-05-11,0809,A,83,6.1NRT,320.76,19.47,D
22.40651,78.41148,339.55,1,1,2022-05-11,0809,A,68,6.1NRT,312.03,28.56,D
23.70792,80.79832,343.1,1.14,1.06,2022-05-11,0809,A,65,6.1NRT,311.7,29.93,D
23.38864,77.69087,335.69,1.01,1.01,2022-05-11,0809,A,61,6.1NRT,316.96,9.64,D
22.97979,74.40437,343.17,1.41,1.18,2022-05-11,0809,A,84,6.1NRT,321.79,27.73,D
23.54146,77.91125,341.34,1.01,1,2022-05-11,0809,A,52,6.1NRT,315.38,19.19,D
22.98767,74.41024,338.91,1.41,1.18,2022-05-11,0809,A,78,6.1NRT,321.6,19.46,D
24.7679,78.56097,340.61,1,1,2022-05-11,0809,A,81,6.1NRT,320.34,15.27,D
24.84936,76.97744,339.55,1.03,1.01,2022-05-11,0809,A,40,6.1NRT,322.1,10.39,D
24.85836,76.97577,340.73,1.03,1.01,2022-05-11,0809,A,71,6.1NRT,322.79,12.95,D
24.86508,74.98593,339.59,1.22,1.1,2022-05-11,0809,A,79,6.1NRT,322.42,21.24,D
25.23941,76.99388,340.85,1.02,1.01,2022-05-11,0809,A,81,6.1NRT,322.95,12.53,D
25.73731,78.064,348.9,1,1,2022-05-11,0809,A,91,6.1NRT,318.86,30.21,D
26.52924,84.11506,328.34,1.99,1.38,2022-05-11,0809,A,72,6.1NRT,301.42,33.07,D
25.89135,78.04474,353.93,1,1,2022-05-11,0809,A,95,6.1NRT,319.54,37.11,D
27.80906,79.64219,337.88,1.12,1.05,2022-05-11,0809,A,81,6.1NRT,306.51,21.24,D
28.8027,81.09769,323.58,1.35,1.15,2022-05-11,0811,A,50,6.1NRT,300.77,16.41,D
28.96373,79.48801,327.2,1.13,1.06,2022-05-11,0811,A,66,6.1NRT,302.01,11.24,D
28.9906,79.47189,331.99,1.13,1.06,2022-05-11,0811,A,69,6.1NRT,303.39,16.1,D
29.12848,79.07423,328.72,1.09,1.04,2022-05-11,0811,A,73,6.1NRT,302.58,14.94,D
29.48408,80.32933,321.09,1.25,1.11,2022-05-11,0811,A,54,6.1NRT,301.76,8.94,D
29.51888,78.66864,331,1.07,1.03,2022-05-11,0811,A,58,6.1NRT,304.68,16,D
29.68934,77.87975,327.43,1.02,1.01,2022-05-11,0811,A,68,6.1NRT,305.06,9.88,D
29.62851,75.5582,337.63,1.04,1.02,2022-05-11,0811,A,76,6.1NRT,313.63,15.81,D
30.03771,74.92683,334.8,1.07,1.03,2022-05-11,0811,A,69,6.1NRT,312.38,11.46,D
30.2277,75.91604,336.74,1.01,1.01,2022-05-11,0811,A,75,6.1NRT,312.14,14.76,D
30.1587,75.16312,335.96,1.05,1.02,2022-05-11,0811,A,72,6.1NRT,313.2,11.85,D
30.41482,75.9941,333.98,1.01,1,2022-05-11,0811,A,71,6.1NRT,311.13,8.11,D
30.51051,76.07478,333.98,1.01,1,2022-05-11,0811,A,72,6.1NRT,310.67,9.99,D
30.46328,74.98059,339.31,1.06,1.03,2022-05-11,0811,A,79,6.1NRT,312.66,19.05,D
30.46158,74.96973,347.42,1.06,1.03,2022-05-11,0811,A,89,6.1NRT,313.17,35.37,D
30.70672,76.53902,331.79,1,1,2022-05-11,0811,A,72,6.1NRT,310.98,7.67,D
30.41535,74.61618,339.31,1.09,1.04,2022-05-11,0811,A,79,6.1NRT,311.24,20.16,D
30.64694,75.27333,331,1.04,1.02,2022-05-11,0811,A,52,6.1NRT,310.67,7.92,D
30.51915,74.34856,347.84,1.11,1.05,2022-05-11,0811,A,90,6.1NRT,313.76,34.95,D
30.90368,76.30093,334.8,1,1,2022-05-11,0811,A,78,6.1NRT,311.4,14.33,D
30.98929,76.44832,330.19,1,1,2022-05-11,0811,A,69,6.1NRT,310.89,9.25,D
30.92412,76.00382,337.46,1.01,1,2022-05-11,0811,A,80,6.1NRT,312.84,13.83,D
30.94772,75.73103,352.27,1.01,1.01,2022-05-11,0811,A,94,6.1NRT,313.13,43.77,D
30.80718,74.81497,337.12,1.06,1.03,2022-05-11,0811,A,76,6.1NRT,315.54,13.68,D
31.03172,76.10344,339.27,1,1,2022-05-11,0811,A,83,6.1NRT,312.67,19.81,D
30.98846,75.81281,341.72,1.01,1,2022-05-11,0811,A,85,6.1NRT,311.63,23.51,D
31.01912,75.95653,334.57,1.01,1,2022-05-11,0811,A,76,6.1NRT,311.81,11.01,D
30.99482,75.67162,332.71,1.01,1.01,2022-05-11,0811,A,55,6.1NRT,311.92,10.09,D
31.05046,75.98223,333.61,1.01,1,2022-05-11,0811,A,73,6.1NRT,313.18,10.19,D
31.04892,75.97186,333.28,1.01,1,2022-05-11,0811,A,69,6.1NRT,312.35,9.77,D
31.02726,75.82632,336.69,1.01,1,2022-05-11,0811,A,78,6.1NRT,313.55,13.01,D
31.0257,75.8159,335.69,1.01,1,2022-05-11,0811,A,77,6.1NRT,313.22,11.35,D
31.08024,75.99756,331,1.01,1,2022-05-11,0811,A,64,6.1NRT,310.19,6.77,D
31.02096,75.42212,331.5,1.02,1.01,2022-05-11,0811,A,66,6.1NRT,311.14,9.82,D
31.09137,75.7646,335.52,1.01,1.01,2022-05-11,0811,A,77,6.1NRT,312.21,11.74,D
